Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0b32fd3bb603e257939ca157a5d6c733b0a81d6c3d0bfe3c43f97b2807b1a4ff,2014-06,Northumbria Police,Northumbria Police,-1.654562,55.582143,On or near SEAFIELD ROAD,E01027383,Northumberland 003D,Offender given a drugs possession warning
883138d619c4408d56ce76a56f0a2c9037bd5584a7a6784db3323ddf0f91450c,2014-06,Northumbria Police,Northumbria Police,-1.545726,54.951592,On or near HEWORTH WAY,E01008240,Gateshead 015B,Suspect charged
57f00ec398cc732413c5e02fbfcf8f860b11444453d2ca203c5534d97cf2d19f,2014-06,Northumbria Police,Northumbria Police,-1.559412,55.181895,On or near SECOND AVENUE,E01027539,Northumberland 010C,Suspect charged
3802f4550e7b07ae5084c86767bf7c379f9940e8a16819ad0804204b5fe588a6,2014-06,Northumbria Police,Northumbria Police,-1.507122,54.912621,On or near EDGECOTE,E01008859,Sunderland 009E,Suspect charged
a67fc36cb9d2b2f5a5c14fc85259dc327df4907918270ed4cb7503c81863a13b,2014-06,Northumbria Police,Northumbria Police,-1.359218,54.950825,On or near ASH GROVE,E01008687,South Tyneside 018E,Offender given a drugs possession warning
8aebf11f15bdc1e85e63d1789eae2fca8ca6d375d17c170883b0ecca88180b51,2014-06,Northumbria Police,Northumbria Police,-1.436204,54.989030,On or near LAYGATE,E01008666,South Tyneside 002C,Offender given a drugs possession warning
f8f98eb3eb23f8b20d8e520d152b2fe2623f076c63b0547a33117d677120f08b,2014-06,Northumbria Police,Northumbria Police,-1.614126,54.977988,On or near BARRAS BRIDGE,E01008397,Newcastle upon Tyne 024C,Offender given a caution
0f4b69b290a21d63685d597753d681758220031f7391f65d5b8f539c9315e669,2014-06,Northumbria Police,Northumbria Police,-1.570190,54.932864,On or near BALMLAW,E01008220,Gateshead 021B,Suspect charged
74dbe7f97bfd2b6a87f6e508a13be9e983df52261f3bc287151cfec296deba2f,2014-06,Northumbria Police,Northumbria Police,-1.385145,54.904139,On or near Nightclub,E01008836,Sunderland 016F,Suspect charged
f4c3ded6754f456b7676079e59431d8bf37b22fcc94ba0d105d963f413d070c5,2014-06,Northumbria Police,Northumbria Police,-1.500260,55.001863,On or near WINDSOR DRIVE,E01008508,North Tyneside 026A,Offender given a caution
d04b7882257c082cdf4768d2369d7f9971c7cb321858577dd941efbaaaae10e3,2014-06,Northumbria Police,Northumbria Police,-1.598126,55.184571,On or near NEW MOOR CLOSE,E01027525,Northumberland 012B,Offender given a caution
eac652fe2caaccb77dcdf55da2e7ddd4eab6d750a39e876e48c551cf052223e2,2014-06,Northumbria Police,Northumbria Police,-1.510270,54.998974,On or near MCNAMARA ROAD,E01008571,North Tyneside 028D,Offender given a drugs possession warning
8e2eb12b17677f46e4dbe4a0ee02f4b27d0883a0dc9a02e620aedb0eeeb04d0b,2014-06,Northumbria Police,Northumbria Police,-1.601188,54.954528,On or near HARTINGTON STREET,E01008163,Gateshead 028A,Investigation complete; no suspect identified
7307f5f1dd16d688c02c77fc37cdb3c5d33688b7b7b2f4cb43eef7f2e6284cf1,2014-06,Northumbria Police,Northumbria Police,-1.377551,54.903103,On or near LAURA STREET,E01008836,Sunderland 016F,Suspect charged
4065da53736974c44c8193729b625108c5dfc9cfc785163010e2b27c7556623c,2014-06,Northumbria Police,Northumbria Police,-1.381905,54.917126,On or near Shopping Area,E01008787,Sunderland 006B,Suspect charged
703e63a46450fdc274854ecd3ef83de3736c584ec397b0ba04213cbfc9099b13,2014-06,Northumbria Police,Northumbria Police,-1.609377,54.968276,On or near Nightclub,E01033543,Newcastle upon Tyne 024G,Suspect charged
36f4058dcf6789931a744e010b08267a922d1bdd9134d0383e60ff40ddfe4bb8,2014-06,Northumbria Police,Northumbria Police,-1.609377,54.968276,On or near Nightclub,E01033543,Newcastle upon Tyne 024G,Suspect charged
